trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,SHORT,0.15282808368865863,2026-06-03T19:00:00+00:00,65419.9134,2026-06-07T06:00:00+00:00,62099.4174,497.720773,9.744267,5.0757
2,BTCUSD,LONG,0.1690808184176421,2026-06-07T06:00:00+00:00,62099.4174,2026-06-09T21:00:00+00:00,61723.1529,-74.087120,10.468011,-0.6059
3,BTCUSD,SHORT,0.1688434312953194,2026-06-09T21:00:00+00:00,61723.1529,2026-06-11T03:00:00+00:00,62675.5326,-171.305007,10.501950,-1.5430
4,BTCUSD,LONG,0.1636105619876795,2026-06-11T03:00:00+00:00,62675.5326,2026-06-16T23:00:00+00:00,65638.8696,474.336436,10.496796,4.7281
5,BTCUSD,SHORT,0.16338672214152375,2026-06-16T23:00:00+00:00,65638.8696,2026-06-17T15:00:00+00:00,65733.144,-26.135407,10.732221,-0.1436
6,BTCUSD,LONG,0.16281998897589534,2026-06-17T15:00:00+00:00,65733.144,2026-06-17T21:00:00+00:00,64223.1528,-256.436492,10.579741,-2.2972
7,BTCUSD,SHORT,0.16258940755264928,2026-06-17T21:00:00+00:00,64223.1528,2026-06-20T09:00:00+00:00,63719.2413,71.529633,10.401039,0.7846
8,BTCUSD,LONG,0.16506357776313488,2026-06-20T09:00:00+00:00,63719.2413,2026-06-23T12:00:00+00:00,62221.0533,-257.690349,10.394078,-2.3512
9,BTCUSD,SHORT,0.16482975354945079,2026-06-23T12:00:00+00:00,62221.0533,2026-06-27T02:00:00+00:00,60274.5525,310.745787,10.095460,3.1284
10,BTCUSD,LONG,0.17537736161642986,2026-06-27T02:00:00+00:00,60274.5525,2026-06-28T04:00:00+00:00,60101.9772,-40.821460,10.555659,-0.2863
11,BTCUSD,SHORT,0.17513153000176793,2026-06-28T04:00:00+00:00,60101.9772,2026-06-28T11:00:00+00:00,60333.5643,-51.104233,10.546030,-0.3853
12,BTCUSD,LONG,0.173681897185081,2026-06-28T11:00:00+00:00,60333.5643,2026-06-29T11:00:00+00:00,59920.5135,-82.182425,10.442978,-0.6846
13,BTCUSD,SHORT,0.17343795330219453,2026-06-29T11:00:00+00:00,59920.5135,2026-07-02T08:00:00+00:00,60505.5987,-111.919209,10.443229,-0.9764
14,BTCUSD,LONG,0.1699794346082854,2026-07-02T08:00:00+00:00,60505.5987,2026-07-06T11:00:00+00:00,62463.0049,322.267732,10.451067,3.2351
15,BTCUSD,SHORT,0.16974523869026767,2026-07-06T11:00:00+00:00,62463.0049,2026-07-09T13:00:00+00:00,63018.1011,-104.874847,10.649910,-0.8887
16,BTCUSD,LONG,0.166652813050991,2026-07-09T13:00:00+00:00,63018.1011,2026-07-13T01:00:00+00:00,63376.3222,49.166561,10.531993,0.5684
17,BTCUSD,SHORT,0.16642020498185778,2026-07-13T01:00:00+00:00,63376.3222,2026-07-14T14:00:00+00:00,64295.8566,-163.652718,10.623615,-1.4509
18,BTCUSD,LONG,0.16155994050022437,2026-07-14T14:00:00+00:00,64295.8566,2026-07-16T12:00:00+00:00,63931.2112,-69.270268,10.358179,-0.5671
19,BTCUSD,SHORT,0.16133315693929218,2026-07-16T12:00:00+00:00,63931.2112,2026-07-18T06:00:00+00:00,63972.792,-17.025940,10.317578,-0.0650
20,BTCUSD,LONG,0.16102660173988936,2026-07-18T06:00:00+00:00,63972.792,2026-07-23T07:00:00+00:00,65398.4177,219.147559,10.416103,2.2285
21,BTCUSD,SHORT,0.1608036661134034,2026-07-23T07:00:00+00:00,65398.4177,2026-07-26T00:00:00+00:00,64502.3979,133.639005,10.444264,1.3701
22,BTCUSD,LONG,0.16517492011935717,2026-07-26T00:00:00+00:00,64502.3979,2026-07-26T07:00:00+00:00,64335.1304,-38.268760,10.640364,-0.2593
23,BTCUSD,SHORT,0.16494342094336353,2026-07-26T07:00:00+00:00,64335.1304,2026-07-26T08:00:00+00:00,64469.8914,-32.850711,10.622770,-0.2095
24,BTCUSD,LONG,0.16415484028187197,2026-07-26T08:00:00+00:00,64469.8914,2026-07-27T14:00:00+00:00,64657.066,20.127209,10.598408,0.2903
25,BTCUSD,SHORT,0.163925402026943,2026-07-27T14:00:00+00:00,64657.066,2026-07-27T16:00:00+00:00,64890.9756,-48.961833,10.618107,-0.3618
26,BTCUSD,LONG,0.16264517889675853,2026-07-27T16:00:00+00:00,64890.9756,2026-07-28T17:00:00+00:00,63659.7655,-210.704466,10.454079,-1.8974
27,BTCUSD,SHORT,0.16241531980600957,2026-07-28T17:00:00+00:00,63659.7655,2026-07-29T09:00:00+00:00,64680.4335,-176.194327,10.422207,-1.6033
28,BTCUSD,LONG,0.15719171335647905,2026-07-29T09:00:00+00:00,64680.4335,2026-07-29T14:00:00+00:00,64073.1828,-105.574279,10.119501,-0.9388
29,BTCUSD,SHORT,0.15697064639292,2026-07-29T14:00:00+00:00,64073.1828,2026-07-29T17:00:00+00:00,64266.8508,-40.473000,10.072809,-0.3023
30,BTCUSD,LONG,0.1559303365483068,2026-07-29T17:00:00+00:00,64266.8508,2026-07-29T19:00:00+00:00,63576.7821,-117.569995,9.967350,-1.0738
31,BTCUSD,SHORT,0.15571089330141966,2026-07-29T19:00:00+00:00,63576.7821,2026-07-30T11:00:00+00:00,64785.4545,-198.197158,9.993699,-1.9011
32,BTCUSD,LONG,0.14980710473139489,2026-07-30T11:00:00+00:00,64785.4545,2026-07-31T09:00:00+00:00,63773.7427,-161.191156,9.629541,-1.5616
