trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,ETHUSD,LONG,4.552697473252902,2026-04-10T05:00:00+00:00,2196.9393,2026-04-10T06:00:00+00:00,2185.31285,-62.907244,9.975534,-0.5292
2,ETHUSD,SHORT,4.546308020732868,2026-04-10T06:00:00+00:00,2185.31285,2026-04-10T09:00:00+00:00,2193.4938110400003,-47.146871,9.953702,-0.3744
3,ETHUSD,LONG,4.464583733117212,2026-04-10T11:00:00+00:00,2215.64304,2026-04-10T12:00:00+00:00,2209.7339647999997,-36.260294,9.878733,-0.2667
4,ETHUSD,SHORT,4.452435764986349,2026-04-12T03:00:00+00:00,2212.65738,2026-04-12T10:00:00+00:00,2210.93569872,-2.182207,9.847882,0.0778
5,ETHUSD,LONG,4.411285518764827,2026-04-13T14:00:00+00:00,2233.69665,2026-04-13T15:00:00+00:00,2206.4509117419598,-129.982110,9.793379,-1.2198
6,ETHUSD,SHORT,4.184809313116658,2026-04-14T21:00:00+00:00,2322.58539,2026-04-14T22:00:00+00:00,2330.2059480000003,-41.626104,9.735522,-0.3281
7,ETHUSD,LONG,4.141574572888858,2026-04-15T14:00:00+00:00,2337.71745,2026-04-15T15:00:00+00:00,2329.9899088,-41.670017,9.665829,-0.3306
8,ETHUSD,SHORT,4.123393079331821,2026-04-16T09:00:00+00:00,2336.98251,2026-04-16T12:00:00+00:00,2346.589224,-49.268362,9.656104,-0.4111
9,ETHUSD,LONG,4.096969361941543,2026-04-16T21:00:00+00:00,2340.9681,2026-04-17T01:00:00+00:00,2335.1968672,-33.223616,9.579052,-0.2465
10,ETHUSD,SHORT,4.098798196478842,2026-04-17T02:00:00+00:00,2330.88373,2026-04-17T07:00:00+00:00,2334.6420350400003,-24.966058,9.561524,-0.1612
11,ETHUSD,LONG,4.042228822268847,2026-04-17T09:00:00+00:00,2358.27156,2026-04-17T10:00:00+00:00,2340.50300576,-81.321323,9.496761,-0.7535
12,ETHUSD,SHORT,3.979468023026251,2026-04-18T09:00:00+00:00,2374.0750900000003,2026-04-18T10:00:00+00:00,2371.94549424,-0.968660,9.443319,0.0897
13,ETHUSD,LONG,4.076836871647426,2026-04-20T12:00:00+00:00,2318.0635199999997,2026-04-20T13:00:00+00:00,2306.4346208,-56.835787,9.426662,-0.5017
14,ETHUSD,SHORT,4.086965054256275,2026-04-21T14:00:00+00:00,2297.49041,2026-04-21T15:00:00+00:00,2308.0255128,-52.467888,9.411291,-0.4585
15,ETHUSD,LONG,4.0149492533102435,2026-04-21T23:00:00+00:00,2326.56522,2026-04-22T02:00:00+00:00,2355.47920992,106.689117,9.399085,1.2428
16,ETHUSD,SHORT,4.018062647540483,2026-04-23T02:00:00+00:00,2350.37983,2026-04-23T03:00:00+00:00,2349.26095824,-4.946029,9.441726,0.0476
17,ETHUSD,LONG,4.0574680016515146,2026-04-26T05:00:00+00:00,2327.2653600000003,2026-04-26T14:00:00+00:00,2332.2710524800004,10.857477,9.452960,0.2151
18,ETHUSD,SHORT,4.083633545768452,2026-04-27T07:00:00+00:00,2314.08709,2026-04-27T14:00:00+00:00,2320.82967312,-36.997889,9.463651,-0.2914
19,ETHUSD,LONG,4.108295827877968,2026-04-29T01:00:00+00:00,2292.10833,2026-04-29T02:00:00+00:00,2287.5424,-28.165471,9.407280,-0.1992
20,ETHUSD,SHORT,4.102539625346838,2026-04-29T02:00:00+00:00,2287.5424,2026-04-29T03:00:00+00:00,2315.45590738176,-123.958262,9.441991,-1.2202
21,ETHUSD,LONG,4.008851745775578,2026-04-29T03:00:00+00:00,2311.01211,2026-04-29T04:00:00+00:00,2322.7993472000003,37.965155,9.288132,0.5100
22,ETHUSD,SHORT,4.093942053021375,2026-04-29T15:00:00+00:00,2271.34564,2026-04-29T17:00:00+00:00,2280.45119904,-46.595027,9.317396,-0.4009
23,ETHUSD,LONG,4.084398873962025,2026-05-01T02:00:00+00:00,2266.15314,2026-05-01T03:00:00+00:00,2275.83754144,30.279308,9.275651,0.4273
24,ETHUSD,SHORT,4.031569688766287,2026-05-03T05:00:00+00:00,2302.43942,2026-05-03T08:00:00+00:00,2307.61143,-30.144189,9.292871,-0.2246
25,ETHUSD,LONG,4.011077583546203,2026-05-03T08:00:00+00:00,2307.61143,2026-05-03T21:00:00+00:00,2324.73336032,59.387044,9.290347,0.7420
26,ETHUSD,SHORT,3.9472535243053017,2026-05-05T23:00:00+00:00,2359.0281,2026-05-06T01:00:00+00:00,2371.99590432,-60.524487,9.337276,-0.5497
27,ETHUSD,LONG,3.8955164415890295,2026-05-06T03:00:00+00:00,2375.7750600000004,2026-05-06T04:00:00+00:00,2364.2270599999997,-54.217802,9.232378,-0.4861
28,ETHUSD,SHORT,3.8900504934000657,2026-05-06T04:00:00+00:00,2364.2270599999997,2026-05-06T07:00:00+00:00,2372.0463144,-39.629466,9.212171,-0.3307
29,ETHUSD,LONG,3.826845882851973,2026-05-06T08:00:00+00:00,2393.8786800000003,2026-05-06T09:00:00+00:00,2397.48200768,4.621480,9.167899,0.1505
30,ETHUSD,SHORT,3.8867516716521324,2026-05-06T15:00:00+00:00,2357.22846,2026-05-06T20:00:00+00:00,2354.80606704,0.257986,9.157254,0.1028
31,ETHUSD,LONG,3.9624907692755147,2026-05-08T18:00:00+00:00,2313.16254,2026-05-09T14:00:00+00:00,2305.6411795199997,-38.954305,9.150984,-0.3252
32,ETHUSD,SHORT,3.91215352500632,2026-05-11T06:00:00+00:00,2332.0335,2026-05-11T13:00:00+00:00,2332.37358144,-10.454389,9.123938,-0.0146
33,ETHUSD,LONG,3.8958960945353143,2026-05-11T21:00:00+00:00,2340.01791,2026-05-12T01:00:00+00:00,2311.475307540984,-120.259881,9.060867,-1.2198
34,ETHUSD,SHORT,3.893419833081035,2026-05-12T01:00:00+00:00,2309.68797,2026-05-12T13:00:00+00:00,2286.19794816,82.509660,8.946857,1.0170
35,ETHUSD,LONG,3.9364631210232,2026-05-13T04:00:00+00:00,2306.31117,2026-05-13T11:00:00+00:00,2303.60798624,-19.714372,9.073388,-0.1172
