trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,ETHUSD,LONG,4.567670031516923,2026-04-09T23:00:00+00:00,2189.73786,2026-04-10T01:00:00+00:00,2185.38523552,-29.873412,9.992059,-0.1988
2,ETHUSD,SHORT,4.526115211676255,2026-04-13T01:00:00+00:00,2202.35944,2026-04-13T06:00:00+00:00,2199.3917904000004,3.470507,9.961417,0.1347
3,ETHUSD,LONG,4.273818737032962,2026-04-14T16:00:00+00:00,2334.11673,2026-04-14T17:00:00+00:00,2325.57639168,-46.457200,9.957342,-0.3659
4,ETHUSD,SHORT,4.273321665852317,2026-04-14T21:00:00+00:00,2322.58539,2026-04-14T22:00:00+00:00,2330.2059480000003,-42.506533,9.941437,-0.3281
5,ETHUSD,LONG,4.2457941511254935,2026-04-15T03:00:00+00:00,2328.56562,2026-04-15T05:00:00+00:00,2318.2370598400003,-53.717624,9.864684,-0.4436
6,ETHUSD,SHORT,4.224898250504379,2026-04-15T08:00:00+00:00,2326.43462,2026-04-15T11:00:00+00:00,2330.4579984,-26.835813,9.837449,-0.1729
7,ETHUSD,LONG,4.205323064317767,2026-04-17T02:00:00+00:00,2331.81627,2026-04-17T08:00:00+00:00,2338.9657132800003,20.244645,9.821074,0.3066
8,ETHUSD,SHORT,4.156948641173885,2026-04-18T14:00:00+00:00,2362.87733,2026-04-18T16:00:00+00:00,2372.5504152,-50.052983,9.842465,-0.4094
9,ETHUSD,LONG,4.293929441538817,2026-04-20T02:00:00+00:00,2276.7552600000004,2026-04-20T05:00:00+00:00,2268.69656992,-44.362371,9.758925,-0.3540
10,ETHUSD,SHORT,4.288192691256618,2026-04-20T05:00:00+00:00,2268.5462,2026-04-20T06:00:00+00:00,2286.19794816,-85.459908,9.765810,-0.7781
11,ETHUSD,LONG,4.1559258435051865,2026-04-20T21:00:00+00:00,2321.11413,2026-04-20T23:00:00+00:00,2308.31904384,-62.795220,9.619790,-0.5512
12,ETHUSD,SHORT,4.071755094766329,2026-04-23T06:00:00+00:00,2352.72936,2026-04-23T09:00:00+00:00,2330.60922864,80.533054,9.534704,0.9402
13,ETHUSD,LONG,4.1673404251306625,2026-04-23T13:00:00+00:00,2319.01371,2026-04-23T14:00:00+00:00,2314.6665740800004,-27.771057,9.655062,-0.1875
14,ETHUSD,SHORT,4.149099324239899,2026-04-23T21:00:00+00:00,2321.58559,2026-04-24T02:00:00+00:00,2332.5248116800003,-55.043100,9.655183,-0.4712
15,ETHUSD,LONG,4.131711445076465,2026-04-24T02:00:00+00:00,2318.9637,2026-04-24T03:00:00+00:00,2301.9715136,-79.752996,9.546185,-0.7327
16,ETHUSD,SHORT,4.11158864676991,2026-04-24T07:00:00+00:00,2309.98791,2026-04-24T11:00:00+00:00,2320.8800832,-54.304248,9.520112,-0.4715
17,ETHUSD,LONG,4.0741543516419005,2026-04-24T17:00:00+00:00,2318.81367,2026-04-24T22:00:00+00:00,2308.1702736,-52.788363,9.425523,-0.4590
18,ETHUSD,SHORT,4.065501180792664,2026-04-25T18:00:00+00:00,2309.8379400000003,2026-04-26T01:00:00+00:00,2313.21255,-23.116990,9.397509,-0.1461
19,ETHUSD,LONG,4.051198957272771,2026-04-26T01:00:00+00:00,2313.21255,2026-04-26T05:00:00+00:00,2315.90632608,1.536282,9.376741,0.1165
20,ETHUSD,SHORT,4.100622107208001,2026-04-27T17:00:00+00:00,2284.79295,2026-04-27T20:00:00+00:00,2291.8438771199994,-38.296717,9.383529,-0.3086
21,ETHUSD,LONG,4.0624428476026315,2026-04-28T01:00:00+00:00,2297.75946,2026-04-28T02:00:00+00:00,2280.74695936,-78.412272,9.299960,-0.7404
22,ETHUSD,SHORT,4.030679100992926,2026-04-28T18:00:00+00:00,2295.49081,2026-04-29T01:00:00+00:00,2296.6832448,-14.061112,9.254790,-0.0519
23,ETHUSD,LONG,4.0140648449799725,2026-04-29T13:00:00+00:00,2302.41039,2026-04-29T15:00:00+00:00,2274.326509026936,-121.916179,9.185659,-1.2198
24,ETHUSD,SHORT,3.9956444386545047,2026-04-29T17:00:00+00:00,2281.5935900000004,2026-04-29T18:00:00+00:00,2236.99771008,169.161937,9.027342,1.9546
25,ETHUSD,LONG,4.10847905541634,2026-04-30T09:00:00+00:00,2261.0021100000004,2026-04-30T11:00:00+00:00,2253.9683161599996,-38.173025,9.274831,-0.3111
26,ETHUSD,SHORT,4.031403610396983,2026-05-01T23:00:00+00:00,2293.84114,2026-05-02T13:00:00+00:00,2310.1931462400003,-75.201897,9.280360,-0.7129
27,ETHUSD,LONG,3.96124588446152,2026-05-02T23:00:00+00:00,2316.4131899999998,2026-05-03T02:00:00+00:00,2297.55799648,-83.828595,9.138537,-0.8140
28,ETHUSD,SHORT,3.9400207230566267,2026-05-03T08:00:00+00:00,2306.6885700000003,2026-05-03T11:00:00+00:00,2325.2153500800005,-82.120796,9.124899,-0.8032
29,ETHUSD,LONG,3.8861509987218383,2026-05-04T00:00:00+00:00,2318.4636,2026-05-04T01:00:00+00:00,2334.3042457599995,52.518462,9.040679,0.6832
30,ETHUSD,SHORT,3.857961924239438,2026-05-04T15:00:00+00:00,2348.0802900000003,2026-05-04T16:00:00+00:00,2354.2011460800004,-32.684641,9.070611,-0.2607
31,ETHUSD,LONG,3.7553792995438506,2026-05-06T12:00:00+00:00,2404.4808,2026-05-06T13:00:00+00:00,2375.1519049939197,-119.115792,8.974667,-1.2198
32,ETHUSD,SHORT,3.829525240853358,2026-05-07T04:00:00+00:00,2325.8847299999998,2026-05-07T06:00:00+00:00,2337.21294912,-52.310426,8.928725,-0.4870
33,ETHUSD,LONG,3.8081850742260754,2026-05-07T10:00:00+00:00,2326.11513,2026-05-07T13:00:00+00:00,2316.74935744,-44.507039,8.840444,-0.4026
34,ETHUSD,SHORT,3.7588238014720172,2026-05-11T02:00:00+00:00,2343.8811299999998,2026-05-11T03:00:00+00:00,2337.7170499199997,14.371040,8.798651,0.2630
35,ETHUSD,LONG,3.7798679365192074,2026-05-11T09:00:00+00:00,2335.56702,2026-05-11T13:00:00+00:00,2319.7743523199997,-68.492486,8.798288,-0.6762
36,ETHUSD,SHORT,3.7498135910500197,2026-05-11T17:00:00+00:00,2335.08289,2026-05-12T01:00:00+00:00,2312.36077968,76.490154,8.713524,0.9731
37,ETHUSD,LONG,3.885629524522363,2026-05-12T23:00:00+00:00,2274.05472,2026-05-13T03:00:00+00:00,2299.98991,91.888019,8.886521,1.1405
38,ETHUSD,SHORT,3.8802213938628256,2026-05-13T03:00:00+00:00,2299.98991,2026-05-13T08:00:00+00:00,2313.21775104,-60.277085,8.950134,-0.5751
39,ETHUSD,LONG,3.8424106007555516,2026-05-13T10:00:00+00:00,2307.86148,2026-05-13T12:00:00+00:00,2279.711108811552,-116.978953,8.813669,-1.2198
40,ETHUSD,SHORT,3.8786182855611,2026-05-14T04:00:00+00:00,2255.2488599999997,2026-05-14T05:00:00+00:00,2272.78886688,-76.812256,8.781265,-0.7777
41,ETHUSD,LONG,3.8301329433636346,2026-05-14T07:00:00+00:00,2264.6528399999997,2026-05-14T09:00:00+00:00,2251.3896320000003,-59.448371,8.648522,-0.5857
42,ETHUSD,SHORT,3.7489884601587224,2026-05-14T15:00:00+00:00,2296.89053,2026-05-14T16:00:00+00:00,2311.0501176000002,-61.721689,8.637558,-0.6165
43,ETHUSD,LONG,3.7336609323332213,2026-05-15T00:00:00+00:00,2290.70805,2026-05-15T01:00:00+00:00,2274.9945100800005,-67.192423,8.523393,-0.6860
44,ETHUSD,SHORT,3.76022716404999,2026-05-15T08:00:00+00:00,2255.74876,2026-05-15T13:00:00+00:00,2227.1173344,99.232367,8.428297,1.2693
45,ETHUSD,LONG,3.9234141176082566,2026-05-17T18:00:00+00:00,2188.0875300000002,2026-05-17T22:00:00+00:00,2176.06230048,-55.741139,8.561184,-0.5496
46,ETHUSD,SHORT,3.997710206320209,2026-05-18T11:00:00+00:00,2132.62339,2026-05-18T12:00:00+00:00,2150.1143139954243,-78.484217,8.560572,-0.8202
47,ETHUSD,LONG,3.966680691143791,2026-05-18T13:00:00+00:00,2130.37599,2026-05-18T14:00:00+00:00,2104.390515824376,-111.475062,8.398983,-1.2198
48,ETHUSD,SHORT,3.9389395866931114,2026-05-18T20:00:00+00:00,2116.22667,2026-05-18T21:00:00+00:00,2142.049714318008,-110.101958,8.386547,-1.2202
49,ETHUSD,LONG,3.8928077399277057,2026-05-19T09:00:00+00:00,2113.8726899999997,2026-05-19T13:00:00+00:00,2109.36364288,-25.772977,8.220124,-0.2133
50,ETHUSD,SHORT,3.8603382085051825,2026-05-20T05:00:00+00:00,2124.12509,2026-05-20T13:00:00+00:00,2131.43900256,-36.448134,8.213958,-0.3443
51,ETHUSD,LONG,3.851794228907456,2026-05-20T13:00:00+00:00,2120.2239600000003,2026-05-20T14:00:00+00:00,2121.4140323199995,-3.585045,8.168958,0.0561
52,ETHUSD,SHORT,3.8243045601247436,2026-05-20T14:00:00+00:00,2133.67318,2026-05-20T15:00:00+00:00,2145.15054432,-52.074699,8.181763,-0.5379
