trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,ETHUSD,LONG,4.575507309372926,2026-04-10T03:00:00+00:00,2185.98711,2026-04-10T06:00:00+00:00,2184.74056448,-15.702726,9.999148,-0.0570
2,ETHUSD,SHORT,4.50097927359443,2026-04-10T12:00:00+00:00,2217.80635,2026-04-10T14:00:00+00:00,2244.86891020524,-131.851227,10.043204,-1.2202
3,ETHUSD,LONG,4.370221582492925,2026-04-10T20:00:00+00:00,2254.90089,2026-04-10T22:00:00+00:00,2236.56219808,-89.958492,9.814344,-0.8133
4,ETHUSD,SHORT,4.355822668138518,2026-04-11T14:00:00+00:00,2240.80175,2026-04-11T16:00:00+00:00,2268.1449092742,-128.922039,9.820086,-1.2202
5,ETHUSD,LONG,4.215817914291026,2026-04-12T00:00:00+00:00,2285.5570199999997,2026-04-12T01:00:00+00:00,2257.6787096928474,-127.106607,9.576727,-1.2198
6,ETHUSD,SHORT,4.296219142986928,2026-04-12T20:00:00+00:00,2212.30745,2026-04-12T22:00:00+00:00,2201.05532304,38.861216,9.480387,0.5086
7,ETHUSD,LONG,4.351143076956788,2026-04-13T03:00:00+00:00,2194.18875,2026-04-13T07:00:00+00:00,2183.9471232,-54.087731,9.524948,-0.4668
8,ETHUSD,SHORT,4.266681228918424,2026-04-13T17:00:00+00:00,2224.0551,2026-04-13T19:00:00+00:00,2251.1939099522397,-125.339881,9.547230,-1.2202
9,ETHUSD,LONG,3.961883465422116,2026-04-14T04:00:00+00:00,2364.4728,2026-04-14T06:00:00+00:00,2356.96691232,-39.090349,9.352897,-0.3174
10,ETHUSD,SHORT,3.901040283999649,2026-04-14T13:00:00+00:00,2390.37183,2026-04-14T14:00:00+00:00,2371.69344384,63.576633,9.288504,0.7814
11,ETHUSD,LONG,4.060177618305378,2026-04-14T19:00:00+00:00,2313.26256,2026-04-14T22:00:00+00:00,2312.28625024,-13.354266,9.390275,-0.0422
12,ETHUSD,SHORT,4.019212845719009,2026-04-15T00:00:00+00:00,2332.5833900000002,2026-04-15T02:00:00+00:00,2336.0031072,-23.126593,9.382021,-0.1466
13,ETHUSD,LONG,4.011019462273673,2026-04-15T12:00:00+00:00,2332.51641,2026-04-15T14:00:00+00:00,2325.0309008,-39.365280,9.340756,-0.3209
14,ETHUSD,SHORT,3.9762364335677147,2026-04-16T18:00:00+00:00,2342.08149,2026-04-16T19:00:00+00:00,2353.44499488,-54.519244,9.335262,-0.4852
