trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,ETHUSD,SHORT,4.5142650776453594,2026-04-10T11:00:00+00:00,2214.7569599999997,2026-04-10T12:00:00+00:00,2225.3529816,-57.855167,10.021917,-0.4784
2,ETHUSD,LONG,4.442225473885888,2026-04-11T00:00:00+00:00,2238.54762,2026-04-11T05:00:00+00:00,2232.8429420800003,-35.272928,9.931463,-0.2548
3,ETHUSD,SHORT,4.208884316848579,2026-04-17T08:00:00+00:00,2353.32924,2026-04-17T09:00:00+00:00,2366.19874512,-64.098232,9.931974,-0.5469
4,ETHUSD,LONG,4.185831581821119,2026-04-18T11:00:00+00:00,2351.92029,2026-04-18T16:00:00+00:00,2354.7849487999997,2.140242,9.850738,0.1218
5,ETHUSD,SHORT,4.286267677311101,2026-04-20T07:00:00+00:00,2296.39063,2026-04-20T08:00:00+00:00,2306.96690112,-55.198340,9.865611,-0.4606
6,ETHUSD,LONG,4.225533310724918,2026-04-25T01:00:00+00:00,2317.2633600000004,2026-04-25T15:00:00+00:00,2303.3104457599998,-68.720698,9.762194,-0.6021
7,ETHUSD,SHORT,4.072303161207838,2026-05-05T12:00:00+00:00,2386.6225799999997,2026-05-05T14:00:00+00:00,2386.1107267199995,-7.633587,9.718008,0.0214
8,ETHUSD,LONG,4.136249404638649,2026-05-06T17:00:00+00:00,2348.81967,2026-05-06T23:00:00+00:00,2336.73415968,-59.678994,9.690310,-0.5145
9,ETHUSD,SHORT,4.221573103705306,2026-05-08T10:00:00+00:00,2286.29265,2026-05-08T12:00:00+00:00,2300.01031008,-67.590811,9.680707,-0.6000
10,ETHUSD,LONG,4.239382400251084,2026-05-13T13:00:00+00:00,2261.65224,2026-05-13T14:00:00+00:00,2251.3896320000003,-53.073375,9.566255,-0.4538
11,ETHUSD,SHORT,4.287103684739055,2026-05-15T23:00:00+00:00,2223.20527,2026-05-16T06:00:00+00:00,2226.26036304,-22.635161,9.537660,-0.1374
12,ETHUSD,LONG,4.500145715421361,2026-05-21T10:00:00+00:00,2113.77267,2026-05-21T13:00:00+00:00,2106.23946784,-43.395842,9.495335,-0.3564
13,ETHUSD,SHORT,4.5744181611903265,2026-05-24T21:00:00+00:00,2069.13609,2026-05-24T22:00:00+00:00,2094.3845162246157,-125.019702,9.522842,-1.2202
14,ETHUSD,LONG,4.455663751169859,2026-05-26T00:00:00+00:00,2097.0693300000003,2026-05-26T10:00:00+00:00,2119.28165888,89.577347,9.393321,1.0592
15,ETHUSD,SHORT,4.434721876750103,2026-05-26T10:00:00+00:00,2126.32465,2026-05-26T13:00:00+00:00,2125.23856272,-4.610755,9.427250,0.0511
16,ETHUSD,LONG,4.551985318913562,2026-05-27T15:00:00+00:00,2071.36419,2026-05-27T17:00:00+00:00,2046.098518156056,-124.380282,9.371315,-1.2198
17,ETHUSD,SHORT,4.641992871256773,2026-06-01T19:00:00+00:00,2003.5992,2026-06-01T21:00:00+00:00,2008.1359468800001,-30.370770,9.311223,-0.2264
18,ETHUSD,LONG,5.578595117229001,2026-06-09T00:00:00+00:00,1662.4324199999999,2026-06-09T01:00:00+00:00,1659.5320272000001,-25.446064,9.265947,-0.1745
19,ETHUSD,SHORT,5.593066311756731,2026-06-11T03:00:00+00:00,1652.91935,2026-06-11T06:00:00+00:00,1658.7940924799998,-42.119141,9.261316,-0.3554
20,ETHUSD,LONG,5.179717925332444,2026-06-16T16:00:00+00:00,1777.4054099999998,2026-06-16T17:00:00+00:00,1784.1023081600001,25.464241,9.223803,0.3768
21,ETHUSD,SHORT,5.396761959873132,2026-06-19T23:00:00+00:00,1709.95794,2026-06-20T05:00:00+00:00,1730.823530767056,-121.891166,9.284539,-1.2202
22,ETHUSD,LONG,5.337664565267378,2026-06-21T23:00:00+00:00,1706.7412800000002,2026-06-22T00:00:00+00:00,1717.8003712,49.890192,9.139527,0.6480
23,ETHUSD,SHORT,5.295525041102467,2026-06-22T03:00:00+00:00,1729.05412,2026-06-22T07:00:00+00:00,1750.152729993888,-120.940331,9.212113,-1.2202
24,ETHUSD,LONG,5.422989393638488,2026-06-24T09:00:00+00:00,1666.78329,2026-06-24T11:00:00+00:00,1678.0787171200002,52.185406,9.069576,0.6777
25,ETHUSD,SHORT,5.788826596760397,2026-06-26T06:00:00+00:00,1569.83597,2026-06-26T07:00:00+00:00,1582.7111366915522,-83.656882,9.124774,-0.8202
26,ETHUSD,LONG,5.7397509236788915,2026-07-01T11:00:00+00:00,1569.3138,2026-07-01T13:00:00+00:00,1584.4526460799998,77.842289,9.050917,0.9647
27,ETHUSD,SHORT,5.609529727714021,2026-07-01T15:00:00+00:00,1618.97614,2026-07-01T16:00:00+00:00,1624.81769856,-41.866475,9.098079,-0.3608
28,ETHUSD,LONG,5.100205896155699,2026-07-07T21:00:00+00:00,1773.15456,2026-07-08T00:00:00+00:00,1769.3740544,-28.315170,9.033813,-0.2132
