strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
rsi_divergence,-104.72415190771244,-1.0472415190771245,-30.70951982698308,20.0,-1.16592476539141,5,0.04509959188658942
keltner_squeeze,-851.3370370737375,-8.513370370737372,-35.24459321516372,25.925925925925924,-8.947092633976258,27,0.21771614637751202
price_action_pinbar,-1391.9147467901148,-13.91914746790115,-36.485067421211646,25.757575757575758,-15.63635758025424,66,0.4234744370959275
vwap,-1935.1886363598624,-19.351886363598624,-38.46378747747806,32.743362831858406,-21.613779942141168,113,0.45739706200128233
price_action_engulfing,-1890.5696208172512,-18.905696208172518,-40.64878833835947,24.778761061946902,-19.934286743006993,113,0.4266559428719144
smc_ob_fvg,-1275.9389132585657,-12.759389132585653,-40.67606339761085,25.0,-14.062728292099038,48,0.26744407576112883
ema3,-2190.8497653266395,-21.90849765326639,-41.89212278441257,29.599999999999998,-23.099062903396256,125,0.4499524279232438
macd_divergence,-1501.3468447822834,-15.01346844782283,-43.228923318944545,26.53061224489796,-16.434231328238965,49,0.2835683455722647
rsi_mr,-1772.8403144257245,-17.728403144257243,-44.834597817927396,24.615384615384617,-18.43224458224815,65,0.31705091136826974
vwap_bands,-1734.6749043498166,-17.346749043498168,-49.065188605509036,24.561403508771928,-18.188516477635417,57,0.26288449612899384
