strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
options_iron_condor,4301.249677266678,43.012496772666786,9.100546302527531,44.84848484848485,-17.29948601881557,330,1.205263391782134
vwap,1242.1917011356309,12.42191701135631,8.722313438608973,43.28358208955223,-3.922534826231552,67,1.4074730807411018
sma_rsi,808.0514370792862,8.08051437079287,10.603975223833384,57.14285714285714,-1.6139896598621182,7,3.972020842768298
ema_rsi,750.756590136727,7.507565901367275,10.194576308027598,75.0,-1.5065396426075044,4,6.218191508225182
vwap_bands,638.4143342364896,6.384143342364901,5.0213458339332595,45.614035087719294,-6.201417458358385,57,1.2600562871345071
grid,319.97156679483305,3.199715667948322,1.8440300232089644,43.75,-21.349338878514033,336,1.020739431484003
rsi_mr,178.4225814568872,1.7842258145688739,1.3782202066943237,49.35064935064935,-15.93910894629966,231,1.021073493275272
keltner_squeeze,137.6436022286307,1.3764360222862981,2.9241232278455915,37.5,-2.2243421280491784,8,1.5127902271842963
smc_liquidity_sweep,-30.51772768239971,-0.305177276823998,-0.6607106745542111,66.66666666666666,-2.8579213828742516,6,0.8852807076327288
rsi_divergence,-53.40722528227343,-0.5340722528227371,-6.168992087771795,11.11111111111111,-0.9508255009925779,9,0.4768511564133883
price_action_pinbar,-86.51213639743946,-0.8651213639743971,-1.6304841226930198,55.55555555555556,-3.3136961883652742,9,0.7158952413919637
smc_ob,-157.59140290630785,-1.5759140290630747,-4.7496011616356695,40.0,-3.029173815892957,5,0.4874360792915244
smc_ob_fvg,-277.3225447638579,-2.773225447638583,-5.1473630604916245,43.75,-6.87117473140664,16,0.6241797143299578
bb_ha_supertrend,-707.3669523202861,-7.073669523202863,-9.45330664399538,22.916666666666664,-9.848878826440231,48,0.6005971663096497
macd_divergence,-954.2545519315117,-9.542545519315116,-11.534720787076695,34.285714285714285,-12.677868200901976,35,0.4729022756137035
price_action_engulfing,-991.759566431625,-9.917595664316249,-20.329059161263377,16.666666666666664,-9.91759566431625,12,0.07003356280752915
bollinger,-1186.5961117099432,-11.865961117099433,-5.668600297528083,43.49112426035503,-27.173679793120726,338,0.8592788434017846
ema3,-1479.0649258791018,-14.790649258791023,-2.4505026189913304,33.153638814016176,-34.74874570559632,371,0.919716529463008
turtle,-2154.6075228800155,-21.546075228800156,-5.129058460551332,29.230769230769234,-24.710972811570777,260,0.798210117450381
smc_bos_retest,-2233.249074711858,-22.332490747118584,-11.328257115621454,30.34188034188034,-29.644824326908868,234,0.7395941925793024
ichimoku_cloud,-2352.8975852044514,-23.52897585204451,-4.864002649445918,31.070496083550914,-38.699684600416326,383,0.8734618974801064
fvg,-2588.9046871346,-25.889046871346,-6.88274336072512,31.27962085308057,-36.94896490025215,211,0.7354726859121755
momentum_breakout,-2726.202876294832,-27.26202876294832,-7.016613949625411,28.88198757763975,-32.30431357438317,322,0.7626294579610917
ema_cross,-3373.2242861179375,-33.73224286117937,-18.343320162454727,27.40740740740741,-36.98634471714817,270,0.6145380178860832
supertrend_mom,-3568.7905401713733,-35.687905401713735,-20.663670441350774,27.86259541984733,-38.211339015525695,262,0.5855139939804407
supertrend_mom_v2,-3568.7905401713733,-35.687905401713735,-20.663670441350774,27.86259541984733,-38.211339015525695,262,0.5855139939804407
macd,-4789.2505194125015,-47.892505194125015,-15.294861552229063,30.58823529411765,-50.82577196615373,510,0.6520174227761318
smc_choch_bos,-6671.738099717171,-66.7173809971717,-41.70766351987612,25.413711583924346,-66.92374450870807,846,0.4961625840028469
