strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
rsi_divergence,-379.0831269206501,-3.790831269206496,-24.79797225534654,12.5,-3.790831269206501,8,0.06998722136530483
fvg,-585.4578435285111,-5.854578435285108,-19.6581248645805,22.727272727272727,-7.098988150748246,22,0.35762183274060527
smc_ob,-674.4101263464854,-6.744101263464852,-9.616487551823225,38.88888888888889,-12.407507213777322,72,0.7563341345546206
macd_divergence,-987.8714313105538,-9.87871431310554,-20.70922463696178,33.33333333333333,-10.662395863056117,51,0.5143173268117583
smc_liquidity_sweep,-1131.7587067730437,-11.31758706773044,-22.57175948836265,25.862068965517242,-14.825602710957664,58,0.5349391116991132
keltner_squeeze,-1246.5477392695175,-12.46547739269518,-29.859976829650943,14.814814814814813,-12.577574258917885,27,0.26247042916777374
vwap_bands,-1510.9046436011868,-15.109046436011864,-27.383091676173134,27.142857142857142,-19.210598719352458,70,0.5091965910156562
supertrend_mom,-1806.0029315335414,-18.060029315335413,-20.885447345030947,26.262626262626267,-20.89098182791906,99,0.606170505204302
supertrend_mom_v2,-1806.0029315335414,-18.060029315335413,-20.885447345030947,26.262626262626267,-20.89098182791906,99,0.606170505204302
price_action_pinbar,-1981.0640527245205,-19.810640527245205,-41.846074594012705,23.28767123287671,-21.489088918647344,73,0.35283524681153566
vwap,-2320.3203437928705,-23.20320343792871,-25.101809475951153,34.22818791946309,-25.05546161984596,149,0.6219878561953512
ema_cross,-2636.896656007819,-26.36896656007819,-25.810086336063716,26.25,-28.69787381620066,160,0.6050622943134782
smc_ob_fvg,-2695.4389440996547,-26.95438944099655,-49.5069458766617,28.71287128712871,-27.03623787614434,101,0.2837152677214177
rsi_mr,-3002.971509954791,-30.029715099547914,-36.54911662188376,32.142857142857146,-30.148935747670674,140,0.52626676945726
price_action_engulfing,-3478.646504872534,-34.78646504872535,-38.55571640815633,26.060606060606062,-36.022777778237845,165,0.4978741933638697
turtle,-3482.3459267344615,-34.82345926734462,-29.88529334340227,30.24390243902439,-36.8751211766811,205,0.626252869887688
momentum_breakout,-3886.4413585301036,-38.86441358530104,-36.22721659004335,29.523809523809526,-41.3751006577156,210,0.5914565456462002
bollinger,-4109.011951072713,-41.09011951072713,-48.12984146737592,34.70319634703196,-41.341179308274874,219,0.5135320676334238
smc_bos_retest,-4146.199911742193,-41.46199911742193,-44.904239627831885,24.277456647398843,-43.17101777323316,173,0.4388825161376427
move_volatility_straddle,-4896.95067283717,-48.969506728371705,-37.91642300245135,31.45780051150895,-50.43687463460602,391,0.646651628005753
time_breakout,-5470.500389691077,-54.70500389691077,-48.116987492118774,33.086419753086425,-57.018731439214044,405,0.5954794901091027
macd,-5551.84777283065,-55.51847772830649,-62.44355802419023,27.835051546391753,-56.28951991438527,291,0.4149139707454883
smc_choch_bos,-5635.141909143514,-56.351419091435126,-70.38150835607163,27.27272727272727,-57.22156132075524,308,0.4201679504138014
ema3,-8504.251311074355,-85.04251311074354,-93.19040309919288,30.44077134986226,-85.52041990822727,726,0.49256706677547085
ichimoku_cloud,-8546.505198429577,-85.46505198429577,-98.8525816757333,27.629513343799054,-85.8525389793488,637,0.4323633273011573
grid,-8563.577755681117,-85.63577755681116,-93.55280872077044,31.19015047879617,-85.66044601689909,731,0.4858649364396686
options_iron_condor,-9044.51993866549,-90.44519938665488,-110.08492167234213,29.7029702970297,-90.44519938665489,808,0.46961509370464904
