strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
ema3,-139.10869227486364,-1.391086922748641,-1.4601627824069108,23.809523809523807,-7.370714293284681,42,0.9235634630095986
rsi_divergence,-1005.8460509128199,-10.058460509128198,-43.088991824049806,49.01960784313725,-10.608800621551254,51,0.27286287835828865
smc_ob,-1231.0397558486493,-12.310397558486496,-18.94017480769334,28.8135593220339,-17.66748663533257,59,0.5093792229083564
price_action_pinbar,-1294.0646215891302,-12.940646215891306,-28.459975252360877,34.523809523809526,-14.765811679624994,84,0.5468003349739587
smc_liquidity_sweep,-1479.2695446685902,-14.792695446685899,-39.40041444773591,25.423728813559322,-16.91643680089383,59,0.34200755277409434
price_action_engulfing,-1553.8302115207534,-15.538302115207536,-21.848873068801772,23.157894736842106,-17.761346521757257,95,0.5578120421132591
smc_ob_fvg,-1586.3383564599226,-15.863383564599221,-24.349326900075052,31.428571428571427,-20.429440773642405,70,0.45528432042577915
macd_divergence,-1655.9973112577136,-16.559973112577133,-50.45271771724284,20.454545454545457,-16.88405180160232,44,0.17378703152702404
supertrend_mom,-1669.5737863932663,-16.695737863932656,-40.74265757045942,22.727272727272727,-16.695737863932663,66,0.3304503941701689
turtle,-1852.3962675529656,-18.52396267552966,-26.312235957909646,20.388349514563107,-23.82987897957142,103,0.5426082113678781
smc_bos_retest,-1998.3253213362414,-19.983253213362417,-27.8959809454393,25.233644859813083,-22.402904430753615,107,0.5091139676114882
bb_ha_supertrend,-2218.5496736385567,-22.185496736385566,-53.82189332336718,17.59259259259259,-22.707718671278297,108,0.28523846380171486
ema_cross,-2269.3986040193704,-22.693986040193703,-32.44612637607035,18.75,-24.688859490789202,160,0.5062223052321004
rsi_mr,-2695.6473818926224,-26.95647381892623,-47.08101877433635,35.064935064935064,-27.272556319245606,154,0.4883202012725871
bollinger,-2820.984490352649,-28.209844903526495,-65.38825684227656,43.884892086330936,-29.23925849334168,139,0.327444691592631
vwap,-2902.4354642085627,-29.024354642085626,-39.04202694140576,31.25,-29.46149288938873,144,0.4721361309410271
macd,-4150.9231149394,-41.509231149394,-59.484676618196424,21.34831460674157,-43.880675710388026,267,0.3970262569623689
smc_choch_bos,-4229.811742361948,-42.29811742361947,-80.3560421303687,24.019607843137255,-42.29811742361948,204,0.281993528451677
fvg,-4280.597193825887,-42.80597193825887,-86.61255848872419,28.294573643410853,-44.678908686470244,258,0.30647147351900644
