strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
move_volatility_straddle,1796.7074795242552,17.967074795242553,64.54468327141242,55.00000000000001,-7.096468807012984,20,2.162899233556245
ichimoku_cloud,1535.3608604226483,15.353608604226476,52.94576876744245,48.0,-6.321426229281209,25,1.6761925035268659
smc_choch_bos,1202.7822615545501,12.027822615545492,50.15381225415447,48.148148148148145,-6.217015432399048,27,1.765124324246858
ema_cross,819.1440197326519,8.191440197326516,53.88882343743736,57.14285714285714,-3.333436272106908,7,3.2008782143728554
momentum_breakout,762.77391926171,7.6277391926171,33.573590058727675,47.368421052631575,-7.311072128882386,19,1.5161018974106701
turtle,693.3351975636069,6.933351975636071,31.092753145391516,43.75,-5.774753512837464,16,1.5816356762860206
supertrend_mom,584.2943734281253,5.842943734281247,80.17927984558234,100.0,-1.177726192522087,2,584294373428.1257
supertrend_mom_v2,584.2943734281253,5.842943734281247,80.17927984558234,100.0,-1.177726192522087,2,584294373428.1257
ema3,560.2990358845564,5.602990358845572,22.08899723124612,40.0,-6.985152473929443,25,1.2345007772213978
macd,156.75090369007376,1.5675090369007272,9.011331420905968,34.78260869565217,-7.279079175621689,23,1.0960926586633712
macd_divergence,121.55906287504149,1.215590628750407,26.980473223073314,50.0,-1.6881206151997685,2,1.750705675709244
vwap_bands,78.11051571714961,0.7811051571714911,8.859465366556778,40.0,-3.2814965756829224,5,1.1602575791754672
price_action_engulfing,-42.62876611711545,-0.42628766117115413,-5.271160527700732,33.33333333333333,-3.2800687824158743,3,0.8672955088819378
rsi_divergence,-72.98273538014837,-0.7298273538014821,-35.04207097569061,33.33333333333333,-1.1253224180158394,3,0.3089094857404218
smc_bos_retest,-190.8723398457587,-1.9087233984575902,-9.16883049006881,28.57142857142857,-4.378369411154896,7,0.7456054199051665
vwap,-271.732866562299,-2.7173286656229867,-10.687387142547072,34.61538461538461,-10.974011997366752,26,0.8671184375398767
fvg,-489.970527465126,-4.8997052746512555,-24.26419407790564,29.411764705882355,-10.189873169175335,17,0.6448758179447609
options_iron_condor,-771.8708156718894,-7.71870815671889,-28.550889906607775,28.000000000000004,-12.016407866565519,25,0.706412738231897
grid,-1054.4001426211325,-10.544001426211324,-37.727359360563824,40.909090909090914,-17.395789342119905,44,0.7175881405876813
bollinger,-1374.9744410915118,-13.74974441091512,-91.2271891067239,30.0,-14.105218278458,20,0.3588981774363222
rsi_mr,-1570.106780429216,-15.701067804292157,-67.62808626165852,21.73913043478261,-18.84742945192082,23,0.41848402102851007
