strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
grid,6606072.965021174,66060.72965021175,506.38021254068684,96.7741935483871,-3.280049424877402,248,22.132935827585197
smc_choch_bos,27378.013808297015,273.78013808297015,110.43505397376973,46.09375,-12.490104431742138,256,1.6591944225464172
options_iron_condor,10206.27641605577,102.06276416055773,65.06966974061498,46.34146341463415,-14.104078948653203,164,1.463170587377991
move_volatility_straddle,3965.1514577044236,39.65151457704423,52.70764637657141,52.083333333333336,-10.164984518945342,48,1.8655958165405462
bollinger,1798.4288282387279,17.984288282387272,63.07125946619465,76.92307692307693,-1.6881402913469845,13,7.381707138364526
vwap_bands,756.1317019295566,7.561317019295566,40.81508947762522,60.0,-1.6130430085555474,5,6.810255534997302
rsi_mr,131.7589560741235,1.3175895607412391,17.81782797053152,100.0,-1.214380907594434,1,131758956074.12425
smc_liquidity_sweep,-19.397322226675897,-0.1939732222667634,-0.9928728920604308,50.0,-4.436567486426798,2,0.8803178125921396
smc_ob,-42.484682339829305,-0.42484682339829494,-2.1387406636287913,33.33333333333333,-3.305442188091378,3,0.8715062084084226
fvg,-145.54383944727488,-1.4554383944727523,-12.350198507973614,33.33333333333333,-3.764954530933279,3,0.09750957987803856
price_action_pinbar,-193.65780722970885,-1.9365780722970904,-10.735666668296053,40.0,-4.986570274127305,5,0.6061572099899804
smc_ob_fvg,-235.07262350553538,-2.350726235055356,-33.12554962489787,50.0,-2.793239096575807,4,0.27176414130594045
macd_divergence,-296.70232113228667,-2.967023211322861,-31.989233163824334,16.666666666666664,-3.9237565278639384,6,0.2665081515588936
supertrend_mom,-321.37558834257834,-3.213755883425784,-40.610126593520285,0.0,-3.213755883425783,2,0.0
supertrend_mom_v2,-321.37558834257834,-3.213755883425784,-40.610126593520285,0.0,-3.213755883425783,2,0.0
ichimoku_cloud,-873.7758184263166,-8.737758184263168,-55.935186431080176,22.22222222222222,-10.298726515461826,9,0.17112107278541328
momentum_breakout,-1166.8391835160055,-11.668391835160053,-70.29099844193763,16.666666666666664,-12.684594826286375,12,0.06025541442108286
turtle,-1509.858675512105,-15.098586755121046,-96.51874965302324,6.666666666666667,-15.130165320274735,15,0.03478493180354973
smc_bos_retest,-1734.3440724615757,-17.343440724615753,-95.08230702492017,12.5,-18.277605720201,16,0.0716091847745338
price_action_engulfing,-2185.436410628209,-21.854364106282087,-103.63099557935467,0.0,-22.10541961110013,16,0.0
ema3,-6661.083190883019,-66.61083190883019,-116.42123058093351,21.839080459770116,-66.98457475391993,174,0.4846212059892027
ema_cross,-8378.41145308184,-83.78411453081841,-327.83463128542127,1.6528925619834711,-83.9863317928306,121,0.0038168112008621496
macd,-8998.43136879175,-89.98431368791748,-377.7367951314378,1.342281879194631,-89.9880389616282,149,0.0013487474107063296
vwap,-9603.288953336114,-96.03288953336114,-463.805063264547,1.4423076923076923,-96.03746966899239,208,0.005311768442125578
