strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
ema3,1681.0006388868023,16.810006388868025,49.74724631084633,38.46153846153847,-5.262610360354232,26,2.765721918283304
move_volatility_straddle,1677.301919966958,16.77301919966958,55.55524778560975,70.0,-2.7415805138880542,10,4.363526337084274
grid,1275.3317783052753,12.753317783052754,57.220875962703886,100.0,-1.4474384621270961,5,1275331778305.2744
supertrend_mom,886.4968654950135,8.864968654950145,34.25109813433408,23.809523809523807,-4.7982195260053855,21,2.4122527371665297
supertrend_mom_v2,886.4968654950135,8.864968654950145,34.25109813433408,23.809523809523807,-4.7982195260053855,21,2.4122527371665297
fvg,668.5569000745982,6.685569000745972,32.636005277480194,50.0,-2.847674332920955,6,4.13743827908941
vwap,422.19273917236933,4.22192739172369,19.937557527779656,40.0,-3.8973492269566083,15,1.6366699239832523
macd_divergence,416.44361477098755,4.164436147709871,25.52275247960963,50.0,-3.4597260472746103,6,3.165484865936072
smc_ob_fvg,325.5633812310771,3.2556338123107764,19.312501812875468,54.54545454545454,-4.070703558542533,11,1.7340968941082493
smc_ob,305.5275300354515,3.0552753003545208,18.01534350882703,60.0,-3.6632370412549733,10,1.6834057462873984
momentum_breakout,167.60621975811227,1.6760621975811185,9.864076088535118,40.0,-2.970633408499326,20,1.281473570538809
macd,161.47974990566217,1.6147974990566194,7.886271283983219,21.052631578947366,-4.926089468133657,57,1.125883638251047
ema_cross,154.74790345444126,1.547479034544419,8.236450954457949,17.142857142857142,-5.563843172766533,35,1.1727623151280562
vwap_bands,100.07717528941794,1.0007717528941695,7.038762007956275,55.55555555555556,-3.5336739335343377,9,1.1970366155668075
keltner_squeeze,-9.19277136663186,-0.09192771366631769,-0.29769050507835687,33.33333333333333,-2.68631779783851,3,0.9685588584933693
price_action_engulfing,-46.888559928218456,-0.4688855992821872,-2.772563078200039,33.33333333333333,-5.099522045791574,12,0.9119451630482623
price_action_pinbar,-180.93575416715066,-1.809357541671508,-10.993688984171035,37.5,-3.275907686988492,8,0.6891816204756475
turtle,-225.48404692182157,-2.254840469218211,-15.184668552394394,33.33333333333333,-5.970963203285282,21,0.6322247531933097
ichimoku_cloud,-427.5529147173838,-4.27552914717384,-24.50782455651158,21.052631578947366,-7.542596364430409,19,0.5038872192908189
smc_liquidity_sweep,-435.3921712095398,-4.353921712095399,-29.561473289475593,22.22222222222222,-5.45842184630811,9,0.4104149466360377
smc_bos_retest,-494.01736117243127,-4.940173611724308,-32.52008200602511,17.391304347826086,-7.4290442767815,23,0.4866932281304631
smc_choch_bos,-643.9676448781775,-6.439676448781773,-28.912164826904938,21.27659574468085,-9.186238450284485,47,0.6058651819534493
bb_ha_supertrend,-725.141146162925,-7.251411461629253,-71.04326026529867,16.666666666666664,-7.2514114616292495,18,0.08549503391504919
rsi_mr,-845.2521923183904,-8.452521923183909,-46.400150861482174,18.181818181818183,-8.517268426737628,11,0.2712810823006985
options_iron_condor,-900.7848935940383,-9.007848935940387,-52.573355726777464,14.285714285714285,-10.549666985164732,7,0.03543928768807084
bollinger,-1028.1253952473435,-10.281253952473435,-59.11654061310723,24.137931034482758,-10.328076092242956,29,0.25007985688899487
